a,b,c,d,f,q,i,s,u,x,total_graded_students,total_students,total_surveys,surveys_completed,pending_surveys,course_assignments,expected_1,expected_2,expected_3,objectives_1,objectives_2,objectives_3,objectives_4,critical_thinking_1,critical_thinking_2,critical_thinking_3,critical_thinking_4,organization_1,organization_2,organization_3,organization_4,diverse_1,diverse_2,diverse_3,diverse_4,diverse_5,diverse_0,feedback_1,feedback_2,feedback_3,feedback_4,feedback_5,feedback_6,year,subject_code,course_number,campus_code,professor_name,a%,b%,c%,d%,f%,q%,i%,s%,u%,x%,mean_gpa,q_gpa,mean_expected,mean_objectives,mean_critical_thinking,mean_organization,mean_diverse,mean_feedback
44,33,9,4,2,2,0,0,0,0,92,94,92,43,49,5,2,13,28,0,3,15,25,0,4,22,17,2,10,21,10,1,3,4,19,10,6,0,1,10,8,13,11,2020,ENDS,115,1,. Rohit Kumar,46.809,35.106,9.574,4.255,2.128,2.128,0.0,0.0,0.0,0.0,3.228,3.17,2.605,3.512,3.302,2.907,3.919,4.535
82,53,24,6,6,12,0,0,0,0,171,183,171,31,140,2,2,7,22,0,3,13,15,0,4,11,16,1,4,16,10,0,1,6,9,10,5,4,2,2,12,8,3,2021,BIOL,213,1,AREF ARZAN ZARIN,44.809,28.962,13.115,3.279,3.279,6.557,0.0,0.0,0.0,0.0,3.164,2.989,2.645,3.387,3.387,3.129,4.077,3.871
425,1,0,0,0,1,0,0,0,0,426,427,426,165,261,1,0,7,158,4,20,42,99,22,59,47,37,0,1,23,141,2,4,22,42,86,9,47,0,3,35,34,46,2022,CSCE,181,1,Aakash Tyagi,99.532,0.234,0.0,0.0,0.0,0.234,0.0,0.0,0.0,0.0,3.998,3.989,2.958,3.43,2.6,3.848,4.321,3.891
368,181,67,10,7,28,4,0,0,0,633,665,637,208,429,28,2,18,188,0,10,38,160,0,2,29,177,1,3,23,181,13,2,26,57,71,39,6,1,14,51,46,90,2020,CSCE,312,1,Aakash Tyagi,55.338,27.218,10.075,1.504,1.053,4.211,0.602,0.0,0.0,0.0,3.411,3.287,2.894,3.721,3.841,3.846,4.012,4.923
410,109,57,9,20,62,0,0,0,0,605,667,605,167,438,28,2,19,146,1,9,34,123,0,5,27,135,3,4,25,135,5,2,16,46,55,43,5,4,5,33,51,69,2021,CSCE,313,1,Aakash Tyagi,61.469,16.342,8.546,1.349,2.999,9.295,0.0,0.0,0.0,0.0,3.455,3.18,2.862,3.671,3.778,3.749,4.161,4.964
7,21,29,8,11,7,0,0,0,0,76,83,76,24,52,1,1,7,16,1,5,8,10,0,3,11,10,4,4,11,5,2,0,8,4,3,7,2,1,2,8,8,3,2022,ECEN,340,1,Aaqib Ahmad Peerzada,8.434,25.301,34.94,9.639,13.253,8.434,0.0,0.0,0.0,0.0,2.066,1.934,2.625,3.125,3.292,2.708,3.353,4.167
142,176,44,4,5,5,0,0,0,0,371,376,370,81,289,16,1,16,64,1,4,16,60,0,3,28,50,3,2,23,53,7,0,4,34,30,6,0,1,5,25,25,25,2020,COSC,463,1,Aarika K. McCloskey,37.766,46.809,11.702,1.064,1.33,1.33,0.0,0.0,0.0,0.0,3.202,3.166,2.778,3.667,3.58,3.556,4.067,4.84
36,40,13,0,0,0,0,0,0,0,89,89,90,14,76,2,0,0,14,0,0,3,11,0,0,7,7,0,0,1,13,0,0,0,6,8,0,1,0,0,3,7,3,2021,COSC,465,1,Aarika K. McCloskey,40.449,44.944,14.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258,3.258,3.0,3.786,3.5,3.929,4.571,4.714
103,130,31,17,2,2,0,0,0,0,283,285,283,184,99,10,0,6,178,0,0,17,167,0,0,32,152,0,0,12,172,6,2,22,62,76,16,2,0,7,43,64,68,2020,ISTM,315,1,Aaron C. Becker,36.14,45.614,10.877,5.965,0.702,0.702,0.0,0.0,0.0,0.0,3.113,3.095,2.967,3.908,3.826,3.935,4.19,5.016
109,105,12,8,5,0,1,0,0,0,239,240,241,117,124,9,0,4,113,0,1,7,109,0,0,15,102,0,1,7,109,5,1,13,36,54,8,0,0,3,13,40,61,2020,ISTM,615,1,Aaron C. Becker,45.417,43.75,5.0,3.333,2.083,0.0,0.417,0.0,0.0,0.0,3.276,3.276,2.966,3.923,3.872,3.923,4.22,5.359
19,7,3,1,0,0,0,0,0,0,30,30,30,7,23,1,1,2,4,2,1,1,3,1,0,2,4,2,0,4,1,1,0,2,0,3,1,0,2,0,2,1,2,2022,CSCE,482,1,Aaron D. Angert,63.333,23.333,10.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0,3.467,3.467,2.429,2.714,3.286,2.571,3.667,4.143
